226
1
2
3
4
5
6
4 7
7 8
8 9
9 10
10 3
3 11
11 12
12 13
13 2
2 14
14 15
15 16
16 17
17 1
1 18
18 19
19 20
20 4
5 21
21 22
22 23
23 6
6 24
24 25
25 26
26 1
4 27
27 28
28 29
29 5
3 30
30 31
31 32
32 5
2 33
33 34
34 35
35 6
1 1
4 4
17 1 49
1 18 49
13 2 48
2 14 48
10 3 51
3 11 51
4 7 50
20 4 50
7 8 38
7 38 50
8 9 41
38 8 41
9 10 37
9 37 41
37 10 51
11 12 46
11 46 51
12 13 40
12 40 46
40 13 48
14 15 45
14 45 48
15 16 36
15 36 45
16 17 44
36 16 44
44 17 49
18 19 39
18 39 49
19 20 47
39 19 47
47 20 50
36 42 43
42 36 44
36 43 45
41 37 43
43 37 53
46 37 51
37 46 53
38 41 42
38 42 52
38 47 50
47 38 52
39 44 49
44 39 52
39 47 52
45 40 48
40 45 53
46 40 53
42 41 43
42 44 52
45 43 53
2 64 13
33 64 2
11 66 3
3 66 30
5 65 21
32 65 5
23 67 6
6 67 35
12 57 11
57 66 11
13 54 12
54 57 12
13 64 54
21 61 22
21 65 61
22 55 23
22 61 55
55 67 23
30 60 31
30 66 60
31 56 32
31 60 56
56 65 32
34 59 33
59 64 33
35 62 34
34 62 59
35 67 62
54 58 57
54 59 58
54 64 59
61 68 55
55 63 62
62 67 55
55 68 63
60 68 56
61 65 56
56 68 61
58 60 57
60 66 57
59 63 58
58 68 60
63 68 58
62 63 59
17 1 26
2 14 33
6 70 24
35 70 6
15 72 14
14 72 33
16 71 15
71 72 15
17 73 16
69 71 16
16 73 69
17 26 25
25 73 17
24 73 25
24 70 69
69 73 24
33 72 34
34 71 35
34 72 71
35 71 70
70 71 69
10 3 30
27 4 7
29 75 5
5 75 32
8 78 7
28 27 7
7 78 28
9 76 8
8 76 74
74 78 8
10 77 9
9 77 76
30 77 10
28 78 29
74 75 29
29 78 74
31 77 30
32 76 31
76 77 31
75 76 32
74 76 75
1 18 91
26 1 91
20 4 92
4 27 92
5 21 90
29 5 90
23 6 89
6 24 89
18 19 85
18 85 91
19 20 81
19 81 85
81 20 92
21 22 86
21 86 90
22 23 79
22 79 86
79 23 89
24 25 83
24 83 89
25 26 80
25 80 83
80 26 91
27 28 87
27 87 92
28 29 82
28 82 87
82 29 90
79 83 84
83 79 89
79 84 86
83 80 84
84 80 85
85 80 91
81 84 85
84 81 88
81 87 88
87 81 92
82 86 88
86 82 90
87 82 88
86 84 88
